,Family,Superfamily,Class,TE_human
4646,MSTC,ERVL-MaLR,LTR,MSTC|ERVL-MaLR|LTR
4650,MLT1J1,ERVL-MaLR,LTR,MLT1J1|ERVL-MaLR|LTR
4658,AluYb8,Alu,SINE,AluYb8|Alu|SINE
4661,MER21A,ERVL,LTR,MER21A|ERVL|LTR
4706,MSTB2,ERVL-MaLR,LTR,MSTB2|ERVL-MaLR|LTR
4752,MLT2A2,ERVL,LTR,MLT2A2|ERVL|LTR
4772,MER48,ERV1,LTR,MER48|ERV1|LTR
4779,HERVH-int,ERV1,LTR,HERVH-int|ERV1|LTR
4781,LTR7A,ERV1,LTR,LTR7A|ERV1|LTR
4785,L1PA17,L1,LINE,L1PA17|L1|LINE
4811,L1PB4,L1,LINE,L1PB4|L1|LINE
4814,LTR53B,ERVL,LTR,LTR53B|ERVL|LTR
4858,MER61B,ERV1,LTR,MER61B|ERV1|LTR
4870,MLT1A0-int,ERVL-MaLR,LTR,MLT1A0-int|ERVL-MaLR|LTR
4919,LOR1a,ERV1,LTR,LOR1a|ERV1|LTR
4934,LTR33A_,ERVL,LTR,LTR33A_|ERVL|LTR
4942,MER57B1,ERV1,LTR,MER57B1|ERV1|LTR
4960,AluYh7,Alu,SINE,AluYh7|Alu|SINE
5010,LTR16A2,ERVL,LTR,LTR16A2|ERVL|LTR
5012,LTR53,ERVL,LTR,LTR53|ERVL|LTR
5037,MER90a,ERV1,LTR,MER90a|ERV1|LTR
5048,LTR50,ERVL,LTR,LTR50|ERVL|LTR
5057,LTR1A2,ERV1,LTR,LTR1A2|ERV1|LTR
5094,MER11A,ERVK,LTR,MER11A|ERVK|LTR
5099,LTR81AB,Gypsy,LTR,LTR81AB|Gypsy|LTR
5120,LTR1B1,ERV1,LTR,LTR1B1|ERV1|LTR
5146,MER61D,ERV1,LTR,MER61D|ERV1|LTR
5150,Tigger19b,TcMar-Tigger,DNA,Tigger19b|TcMar-Tigger|DNA
5155,MER61A,ERV1,LTR,MER61A|ERV1|LTR
5180,Arthur1,hAT-Tip100,DNA,Arthur1|hAT-Tip100|DNA
5181,X7B_LINE,CR1,LINE,X7B_LINE|CR1|LINE
5185,LTR8,ERV1,LTR,LTR8|ERV1|LTR
5208,L1MA6,L1,LINE,L1MA6|L1|LINE
5241,MamRep434,TcMar-Tigger,DNA,MamRep434|TcMar-Tigger|DNA
5257,L1PB2,L1,LINE,L1PB2|L1|LINE
5269,L1P3,L1,LINE,L1P3|L1|LINE
5290,CR1_Mam,CR1,LINE,CR1_Mam|CR1|LINE
5319,MamTip1,hAT-Tip100,DNA,MamTip1|hAT-Tip100|DNA
5352,LTR101_Mam,ERVL,LTR,LTR101_Mam|ERVL|LTR
5357,X6B_LINE,CR1,LINE,X6B_LINE|CR1|LINE
5370,MLT1G,ERVL-MaLR,LTR,MLT1G|ERVL-MaLR|LTR
5379,Tigger11a,TcMar-Tigger,DNA,Tigger11a|TcMar-Tigger|DNA
5381,MER110,ERV1,LTR,MER110|ERV1|LTR
5406,MLT1N2,ERVL-MaLR,LTR,MLT1N2|ERVL-MaLR|LTR
5411,LTR66,ERVL,LTR,LTR66|ERVL|LTR
5412,HERVL66-int,ERVL,LTR,HERVL66-int|ERVL|LTR
5415,X6A_LINE,CR1,LINE,X6A_LINE|CR1|LINE
5428,MER54B,ERVL,LTR,MER54B|ERVL|LTR
5455,MER70A,ERVL,LTR,MER70A|ERVL|LTR
5463,MLT1E,ERVL-MaLR,LTR,MLT1E|ERVL-MaLR|LTR
5500,L1MD1,L1,LINE,L1MD1|L1|LINE
5517,MamGypsy2-I,Gypsy,LTR,MamGypsy2-I|Gypsy|LTR
5519,MamGypsy2-LTR,Gypsy,LTR,MamGypsy2-LTR|Gypsy|LTR
5550,LTR90B,LTR,LTR,LTR90B|LTR|LTR
5574,MER20B,hAT-Charlie,DNA,MER20B|hAT-Charlie|DNA
5640,MamSINE1,tRNA-RTE,SINE,MamSINE1|tRNA-RTE|SINE
5648,LTR16D,ERVL,LTR,LTR16D|ERVL|LTR
5650,MLT1F,ERVL-MaLR,LTR,MLT1F|ERVL-MaLR|LTR
5674,LTR24,ERV1,LTR,LTR24|ERV1|LTR
5676,LTR24B,ERV1,LTR,LTR24B|ERV1|LTR
5684,MER57A1,ERV1,LTR,MER57A1|ERV1|LTR
5691,LTR10C,ERV1,LTR,LTR10C|ERV1|LTR
5693,MLT1J-int,ERVL-MaLR,LTR,MLT1J-int|ERVL-MaLR|LTR
5702,MADE1,TcMar-Mariner,DNA,MADE1|TcMar-Mariner|DNA
5710,MLT2A1,ERVL,LTR,MLT2A1|ERVL|LTR
5720,LTR48B,ERV1,LTR,LTR48B|ERV1|LTR
5721,MER34-int,ERV1,LTR,MER34-int|ERV1|LTR
5741,MER70B,ERVL,LTR,MER70B|ERVL|LTR
5793,MER121B,hAT,DNA,MER121B|hAT|DNA
5819,LFSINE_Vert,tRNA,SINE,LFSINE_Vert|tRNA|SINE
5820,Tigger9b,TcMar-Tigger,DNA,Tigger9b|TcMar-Tigger|DNA
5826,UCON49,L2,LINE,UCON49|L2|LINE
5828,Kanga2_a,TcMar-Tc2,DNA,Kanga2_a|TcMar-Tc2|DNA
5870,MamGypLTR1a,Gypsy,LTR,MamGypLTR1a|Gypsy|LTR
5960,L1MEj,L1,LINE,L1MEj|L1|LINE
5987,L4_A_Mam,RTE-X,LINE,L4_A_Mam|RTE-X|LINE
5993,MamRep38,hAT,DNA,MamRep38|hAT|DNA
6003,L1PB3,L1,LINE,L1PB3|L1|LINE
6016,LTR23,ERV1,LTR,LTR23|ERV1|LTR
6017,ERV24_Prim-int,ERV1,LTR,ERV24_Prim-int|ERV1|LTR
6018,LTR23-int,ERV1,LTR,LTR23-int|ERV1|LTR
6023,MER34B,ERV1,LTR,MER34B|ERV1|LTR
6028,LTR54,ERV1,LTR,LTR54|ERV1|LTR
6055,MER34C,ERV1,LTR,MER34C|ERV1|LTR
6062,MER75A,PiggyBac,DNA,MER75A|PiggyBac|DNA
6064,LTR16A,ERVL,LTR,LTR16A|ERVL|LTR
6095,L1M6,L1,LINE,L1M6|L1|LINE
6146,MER34A1,ERV1,LTR,MER34A1|ERV1|LTR
6167,L4_C_Mam,RTE-X,LINE,L4_C_Mam|RTE-X|LINE
6238,MamRep1879,hAT-Tip100,DNA,MamRep1879|hAT-Tip100|DNA
6263,MLT1L,ERVL-MaLR,LTR,MLT1L|ERVL-MaLR|LTR
6283,LTR16B2,ERVL,LTR,LTR16B2|ERVL|LTR
6393,Zaphod3,hAT-Tip100,DNA,Zaphod3|hAT-Tip100|DNA
6422,MER58D,hAT-Charlie,DNA,MER58D|hAT-Charlie|DNA
6427,MamTip2,hAT-Tip100,DNA,MamTip2|hAT-Tip100|DNA
6467,LTR33A,ERVL,LTR,LTR33A|ERVL|LTR
6517,MER41A,ERV1,LTR,MER41A|ERV1|LTR
6532,LTR8B,ERV1,LTR,LTR8B|ERV1|LTR
6546,Charlie29a,hAT-Charlie,DNA,Charlie29a|hAT-Charlie|DNA
6551,MER5C,hAT-Charlie,DNA,MER5C|hAT-Charlie|DNA
6629,MER4E,ERV1,LTR,MER4E|ERV1|LTR
6661,MLT1C-int,ERVL-MaLR,LTR,MLT1C-int|ERVL-MaLR|LTR
6674,Tigger13a,TcMar-Tigger,DNA,Tigger13a|TcMar-Tigger|DNA
6675,LTR16D2,ERVL,LTR,LTR16D2|ERVL|LTR
6677,ORSL,hAT-Tip100,DNA,ORSL|hAT-Tip100|DNA
6688,MER45C,hAT-Tip100,DNA,MER45C|hAT-Tip100|DNA
6692,MARNA,TcMar-Mariner,DNA,MARNA|TcMar-Mariner|DNA
6718,LTR16B1,ERVL,LTR,LTR16B1|ERVL|LTR
6750,MLT1G1-int,ERVL-MaLR,LTR,MLT1G1-int|ERVL-MaLR|LTR
6806,LTR1C,ERV1,LTR,LTR1C|ERV1|LTR
6813,THE1A-int,ERVL-MaLR,LTR,THE1A-int|ERVL-MaLR|LTR
6955,LTR41B,ERVL,LTR,LTR41B|ERVL|LTR
6990,MLT1B-int,ERVL-MaLR,LTR,MLT1B-int|ERVL-MaLR|LTR
7027,AluSq10,Alu,SINE,AluSq10|Alu|SINE
7089,MER105,hAT-Charlie,DNA,MER105|hAT-Charlie|DNA
7091,LTR19B,ERV1,LTR,LTR19B|ERV1|LTR
7107,FordPrefect_a,hAT-Tip100,DNA,FordPrefect_a|hAT-Tip100|DNA
7145,LTR85b,Gypsy,LTR,LTR85b|Gypsy|LTR
7148,LTR71B,ERV1,LTR,LTR71B|ERV1|LTR
7172,LTR16D1,ERVL,LTR,LTR16D1|ERVL|LTR
7190,L1MA3,L1,LINE,L1MA3|L1|LINE
7225,Charlie18a,hAT-Charlie,DNA,Charlie18a|hAT-Charlie|DNA
7228,MER51E,ERV1,LTR,MER51E|ERV1|LTR
7238,MER91C,hAT-Tip100,DNA,MER91C|hAT-Tip100|DNA
7303,LTR86A1,ERVL,LTR,LTR86A1|ERVL|LTR
7361,LTR75_1,ERV1,LTR,LTR75_1|ERV1|LTR
7365,MER72,ERV1,LTR,MER72|ERV1|LTR
7472,L2-3_Crp,L2,LINE,L2-3_Crp|L2|LINE
7865,MLT1D-int,ERVL-MaLR,LTR,MLT1D-int|ERVL-MaLR|LTR
7941,MER52D,ERV1,LTR,MER52D|ERV1|LTR
8023,LTR12E,ERV1,LTR,LTR12E|ERV1|LTR
8343,LTR21B,ERV1,LTR,LTR21B|ERV1|LTR
8344,HERVFH21-int,ERV1,LTR,HERVFH21-int|ERV1|LTR
8349,LTR14B,ERVK,LTR,LTR14B|ERVK|LTR
8357,AluYk4,Alu,SINE,AluYk4|Alu|SINE
8528,LTR12,ERV1,LTR,LTR12|ERV1|LTR
8566,MER101,ERV1,LTR,MER101|ERV1|LTR
8583,LTR36,ERV1,LTR,LTR36|ERV1|LTR
8660,MER130,DNA,DNA,MER130|DNA|DNA
8687,MLT1M,ERVL-MaLR,LTR,MLT1M|ERVL-MaLR|LTR
8741,LTR71A,ERV1,LTR,LTR71A|ERV1|LTR
8768,Penelope1_Vert,Penelope,LINE,Penelope1_Vert|Penelope|LINE
8789,Charlie16a,hAT-Charlie,DNA,Charlie16a|hAT-Charlie|DNA
8866,Tigger14a,TcMar-Tigger,DNA,Tigger14a|TcMar-Tigger|DNA
8899,Charlie7,hAT-Charlie,DNA,Charlie7|hAT-Charlie|DNA
