,Family,Superfamily,Class,TE_human
21601,LTR12D,ERV1,LTR,LTR12D|ERV1|LTR
21615,LOR1b,ERV1,LTR,LOR1b|ERV1|LTR
21707,LTR88a,Gypsy,LTR,LTR88a|Gypsy|LTR
22011,MER6B,TcMar-Tigger,DNA,MER6B|TcMar-Tigger|DNA
22016,LTR10B,ERV1,LTR,LTR10B|ERV1|LTR
22116,LTR14A,ERVK,LTR,LTR14A|ERVK|LTR
22432,MER6C,TcMar-Tigger,DNA,MER6C|TcMar-Tigger|DNA
22510,LTR22A,ERVK,LTR,LTR22A|ERVK|LTR
22563,Tigger18a,TcMar-Tigger,DNA,Tigger18a|TcMar-Tigger|DNA
22602,MST-int,ERVL-MaLR,LTR,MST-int|ERVL-MaLR|LTR
22638,Ricksha,MULE-MuDR,DNA,Ricksha|MULE-MuDR|DNA
22639,Ricksha_a,MULE-MuDR,DNA,Ricksha_a|MULE-MuDR|DNA
22663,LTR80A,ERVL,LTR,LTR80A|ERVL|LTR
22755,MER113B,hAT-Charlie,DNA,MER113B|hAT-Charlie|DNA
22793,LTR86B1,ERVL,LTR,LTR86B1|ERVL|LTR
22843,MamGypLTR1c,Gypsy,LTR,MamGypLTR1c|Gypsy|LTR
22860,LTR82B,ERVL,LTR,LTR82B|ERVL|LTR
22868,LTR88b,Gypsy,LTR,LTR88b|Gypsy|LTR
22944,ORSL-2a,hAT-Tip100,DNA,ORSL-2a|hAT-Tip100|DNA
23024,MLT1F-int,ERVL-MaLR,LTR,MLT1F-int|ERVL-MaLR|LTR
23048,LTR55,ERVL,LTR,LTR55|ERVL|LTR
23052,MamGypLTR2c,Gypsy,LTR,MamGypLTR2c|Gypsy|LTR
23200,MER6A,TcMar-Tigger,DNA,MER6A|TcMar-Tigger|DNA
23307,MLT1I-int,ERVL-MaLR,LTR,MLT1I-int|ERVL-MaLR|LTR
23453,LTR9A1,ERV1,LTR,LTR9A1|ERV1|LTR
23559,Tigger12A,TcMar-Tigger,DNA,Tigger12A|TcMar-Tigger|DNA
23573,HERVL74-int,ERVL,LTR,HERVL74-int|ERVL|LTR
23624,MamTip3,hAT-Tip100,DNA,MamTip3|hAT-Tip100|DNA
23828,MER135,DNA,DNA,MER135|DNA|DNA
23943,LTR32,ERVL,LTR,LTR32|ERVL|LTR
24078,X1_LINE,CR1,LINE,X1_LINE|CR1|LINE
24176,LTR16B,ERVL,LTR,LTR16B|ERVL|LTR
24218,MER127,TcMar-Tigger,DNA,MER127|TcMar-Tigger|DNA
24404,MamGypLTR1b,Gypsy,LTR,MamGypLTR1b|Gypsy|LTR
24626,LTR10D,ERV1,LTR,LTR10D|ERV1|LTR
24896,PRIMA4_LTR,ERV1,LTR,PRIMA4_LTR|ERV1|LTR
24963,MER57E2,ERV1,LTR,MER57E2|ERV1|LTR
24993,MamGypLTR1d,Gypsy,LTR,MamGypLTR1d|Gypsy|LTR
25343,LTR81A,Gypsy,LTR,LTR81A|Gypsy|LTR
25455,CR1-L3A_Croc,CR1,LINE,CR1-L3A_Croc|CR1|LINE
25591,UCON78,DNA,DNA,UCON78|DNA|DNA
25877,MER57F,ERV1,LTR,MER57F|ERV1|LTR
25966,DNA1_Mam,TcMar,DNA,DNA1_Mam|TcMar|DNA
26033,Charlie17b,hAT-Charlie,DNA,Charlie17b|hAT-Charlie|DNA
26210,MLT1J1-int,ERVL-MaLR,LTR,MLT1J1-int|ERVL-MaLR|LTR
26612,MER129,LTR,LTR,MER129|LTR|LTR
27104,MER90,ERV1,LTR,MER90|ERV1|LTR
27114,MERX,TcMar-Tigger,DNA,MERX|TcMar-Tigger|DNA
27221,Tigger17,TcMar-Tigger,DNA,Tigger17|TcMar-Tigger|DNA
28082,LTR4,ERV1,LTR,LTR4|ERV1|LTR
28088,MER87,ERV1,LTR,MER87|ERV1|LTR
28108,LTR49,ERV1,LTR,LTR49|ERV1|LTR
28110,MER51D,ERV1,LTR,MER51D|ERV1|LTR
28128,PRIMA41-int,ERV1,LTR,PRIMA41-int|ERV1|LTR
28579,LTR39-int,ERV1,LTR,LTR39-int|ERV1|LTR
28857,MER57B2,ERV1,LTR,MER57B2|ERV1|LTR
29140,LTR54B,ERV1,LTR,LTR54B|ERV1|LTR
29177,LTR76,ERV1,LTR,LTR76|ERV1|LTR
29190,MamGypLTR2b,Gypsy,LTR,MamGypLTR2b|Gypsy|LTR
29222,MER50C,ERV1,LTR,MER50C|ERV1|LTR
29282,PABL_B,ERV1,LTR,PABL_B|ERV1|LTR
29536,LTR15,ERV1,LTR,LTR15|ERV1|LTR
29688,LTR38B,ERV1,LTR,LTR38B|ERV1|LTR
29762,HERV-Fc2_LTR,ERV1,LTR,HERV-Fc2_LTR|ERV1|LTR
29987,MER61-int,ERV1,LTR,MER61-int|ERV1|LTR
30555,UCON89,hAT,DNA,UCON89|hAT|DNA
31793,UCON11,TcMar-Tigger,DNA,UCON11|TcMar-Tigger|DNA
32226,LTR1F1,ERV1,LTR,LTR1F1|ERV1|LTR
32497,X8_LINE,CR1,LINE,X8_LINE|CR1|LINE
33268,L2-1_Crp,L2,LINE,L2-1_Crp|L2|LINE
33356,MER4D0,ERV1,LTR,MER4D0|ERV1|LTR
33606,MER30B,hAT-Charlie,DNA,MER30B|hAT-Charlie|DNA
33799,HUERS-P3-int,ERV1,LTR,HUERS-P3-int|ERV1|LTR
34197,HERV35I-int,ERV1,LTR,HERV35I-int|ERV1|LTR
34355,LTR37-int,ERV1,LTR,LTR37-int|ERV1|LTR
34694,LTR28B,ERV1,LTR,LTR28B|ERV1|LTR
35051,Charlie14a,hAT-Charlie,DNA,Charlie14a|hAT-Charlie|DNA
35146,MamRep1894,hAT,DNA,MamRep1894|hAT|DNA
35293,LTR14,ERVK,LTR,LTR14|ERVK|LTR
35294,HERVK14C-int,ERVK,LTR,HERVK14C-int|ERVK|LTR
35359,MER66A,ERV1,LTR,MER66A|ERV1|LTR
35412,MamGyp-int,Gypsy,LTR,MamGyp-int|Gypsy|LTR
35464,MLT1A1-int,ERVL-MaLR,LTR,MLT1A1-int|ERVL-MaLR|LTR
35496,LTR46-int,ERV1,LTR,LTR46-int|ERV1|LTR
35508,L1M2a,L1,LINE,L1M2a|L1|LINE
35513,MER4-int,ERV1,LTR,MER4-int|ERV1|LTR
35542,L1P4e,L1,LINE,L1P4e|L1|LINE
35676,LTR26D,ERV1,LTR,LTR26D|ERV1|LTR
35948,LTR107_Mam,LTR,LTR,LTR107_Mam|LTR|LTR
36345,UCON21,DNA,DNA,UCON21|DNA|DNA
36372,Tigger20a,TcMar-Tigger,DNA,Tigger20a|TcMar-Tigger|DNA
36777,MLT1A-int,ERVL-MaLR,LTR,MLT1A-int|ERVL-MaLR|LTR
36802,LTR7C,ERV1,LTR,LTR7C|ERV1|LTR
37488,MER73,ERVL,LTR,MER73|ERVL|LTR
37564,L1PBa,L1,LINE,L1PBa|L1|LINE
37567,LTR06,ERV1,LTR,LTR06|ERV1|LTR
37628,LTR48,ERV1,LTR,LTR48|ERV1|LTR
38493,MER41-int,ERV1,LTR,MER41-int|ERV1|LTR
38615,MLT1E3-int,ERVL-MaLR,LTR,MLT1E3-int|ERVL-MaLR|LTR
38627,PABL_A,ERV1,LTR,PABL_A|ERV1|LTR
38671,LTR28C,ERV1,LTR,LTR28C|ERV1|LTR
38690,MLT1K-int,ERVL-MaLR,LTR,MLT1K-int|ERVL-MaLR|LTR
38811,MER57-int,ERV1,LTR,MER57-int|ERV1|LTR
39157,MER44C,TcMar-Tigger,DNA,MER44C|TcMar-Tigger|DNA
39735,LTR47A2,ERVL,LTR,LTR47A2|ERVL|LTR
40876,MER50-int,ERV1,LTR,MER50-int|ERV1|LTR
41957,PABL_B-int,ERV1,LTR,PABL_B-int|ERV1|LTR
42009,LTR88c,Gypsy,LTR,LTR88c|Gypsy|LTR
42234,Charlie10b,hAT-Charlie,DNA,Charlie10b|hAT-Charlie|DNA
42910,MER66D,ERV1,LTR,MER66D|ERV1|LTR
43060,LTR87,ERVL,LTR,LTR87|ERVL|LTR
44395,HERV1_LTRd,ERV1,LTR,HERV1_LTRd|ERV1|LTR
44639,Tigger3,TcMar-Tigger,DNA,Tigger3|TcMar-Tigger|DNA
44808,LTR80B,ERVL,LTR,LTR80B|ERVL|LTR
45091,MLT1E2-int,ERVL-MaLR,LTR,MLT1E2-int|ERVL-MaLR|LTR
45743,MER57E1,ERV1,LTR,MER57E1|ERV1|LTR
45988,UCON33,TcMar-Tigger,DNA,UCON33|TcMar-Tigger|DNA
46018,MER41C,ERV1,LTR,MER41C|ERV1|LTR
46555,L1M2b,L1,LINE,L1M2b|L1|LINE
46850,MSTD-int,ERVL-MaLR,LTR,MSTD-int|ERVL-MaLR|LTR
47354,Looper,PiggyBac,DNA,Looper|PiggyBac|DNA
47463,LTR22B2,ERVK,LTR,LTR22B2|ERVK|LTR
47530,Eulor12,DNA,DNA,Eulor12|DNA|DNA
47654,LTR6A,ERV1,LTR,LTR6A|ERV1|LTR
48323,MamGypLTR3,Gypsy,LTR,MamGypLTR3|Gypsy|LTR
49155,MER51C,ERV1,LTR,MER51C|ERV1|LTR
49400,LTR35A,ERV1,LTR,LTR35A|ERV1|LTR
50294,HERV4_I-int,ERV1,LTR,HERV4_I-int|ERV1|LTR
50700,MER97b,hAT-Tip100,DNA,MER97b|hAT-Tip100|DNA
51239,Eulor9A,DNA,DNA,Eulor9A|DNA|DNA
51377,MLT1J2-int,ERVL-MaLR,LTR,MLT1J2-int|ERVL-MaLR|LTR
51633,MER34D,ERV1,LTR,MER34D|ERV1|LTR
52419,MER51-int,ERV1,LTR,MER51-int|ERV1|LTR
52534,MER65C,ERV1,LTR,MER65C|ERV1|LTR
52994,UCON55,TcMar-Tigger,DNA,UCON55|TcMar-Tigger|DNA
53881,LTR12B,ERV1,LTR,LTR12B|ERV1|LTR
54541,MER57D,ERV1,LTR,MER57D|ERV1|LTR
55965,LTR35,ERV1,LTR,LTR35|ERV1|LTR
56185,MER50B,ERV1,LTR,MER50B|ERV1|LTR
57212,LTR1D,ERV1,LTR,LTR1D|ERV1|LTR
58189,MSTA1-int,ERVL-MaLR,LTR,MSTA1-int|ERVL-MaLR|LTR
58482,L1MDb,L1,LINE,L1MDb|L1|LINE
58651,UCON7,DNA,DNA,UCON7|DNA|DNA
58996,MLT1G-int,ERVL-MaLR,LTR,MLT1G-int|ERVL-MaLR|LTR
58997,LTR31,ERV1,LTR,LTR31|ERV1|LTR
59011,LTR1E,ERV1,LTR,LTR1E|ERV1|LTR
59137,L1M3c,L1,LINE,L1M3c|L1|LINE
59327,HERVK22-int,ERVK,LTR,HERVK22-int|ERVK|LTR
59692,LTR17,ERV1,LTR,LTR17|ERV1|LTR
59819,MER83B,ERV1,LTR,MER83B|ERV1|LTR
59823,PrimLTR79,ERV1,LTR,PrimLTR79|ERV1|LTR
60346,LTR27,ERV1,LTR,LTR27|ERV1|LTR
60757,HERV30-int,ERV1,LTR,HERV30-int|ERV1|LTR
60821,MER74C,ERVL,LTR,MER74C|ERVL|LTR
62521,LTR1,ERV1,LTR,LTR1|ERV1|LTR
62582,MER99,hAT,DNA,MER99|hAT|DNA
63491,FordPrefect,hAT-Tip100,DNA,FordPrefect|hAT-Tip100|DNA
64442,L1M3e,L1,LINE,L1M3e|L1|LINE
64633,HUERS-P3b-int,ERV1,LTR,HUERS-P3b-int|ERV1|LTR
65298,LTR6B,ERV1,LTR,LTR6B|ERV1|LTR
65697,LTR38A1,ERV1,LTR,LTR38A1|ERV1|LTR
65994,HERVS71-int,ERV1,LTR,HERVS71-int|ERV1|LTR
66341,HERVK11-int,ERVK,LTR,HERVK11-int|ERVK|LTR
67840,MLT1F2-int,ERVL-MaLR,LTR,MLT1F2-int|ERVL-MaLR|LTR
68141,LTR90A,LTR,LTR,LTR90A|LTR|LTR
68207,THE1-int,ERVL-MaLR,LTR,THE1-int|ERVL-MaLR|LTR
68247,L1M6B,L1,LINE,L1M6B|L1|LINE
68765,LTR86B2,ERVL,LTR,LTR86B2|ERVL|LTR
69236,LTR69,ERVL,LTR,LTR69|ERVL|LTR
69963,L1MEg2,L1,LINE,L1MEg2|L1|LINE
70110,MLT1H2-int,ERVL-MaLR,LTR,MLT1H2-int|ERVL-MaLR|LTR
70522,LTR1F2,ERV1,LTR,LTR1F2|ERV1|LTR
71514,MER89-int,ERV1,LTR,MER89-int|ERV1|LTR
72135,L1MEg1,L1,LINE,L1MEg1|L1|LINE
73233,LTR2752,ERV1,LTR,LTR2752|ERV1|LTR
75492,Eulor2B,DNA,DNA,Eulor2B|DNA|DNA
77869,LTR1B0,ERV1,LTR,LTR1B0|ERV1|LTR
78430,LTR43,ERV1,LTR,LTR43|ERV1|LTR
78996,AluYb9,Alu,SINE,AluYb9|Alu|SINE
80672,MLT1N2-int,ERVL-MaLR,LTR,MLT1N2-int|ERVL-MaLR|LTR
80942,MER70-int,ERVL,LTR,MER70-int|ERVL|LTR
81363,L1M3d,L1,LINE,L1M3d|L1|LINE
81677,LTR5A,ERVK,LTR,LTR5A|ERVK|LTR
83045,LTR34,ERV1,LTR,LTR34|ERV1|LTR
84707,HERV17-int,ERV1,LTR,HERV17-int|ERV1|LTR
84867,UCON99,DNA,DNA,UCON99|DNA|DNA
84870,UCON107,hAT-Tag1,DNA,UCON107|hAT-Tag1|DNA
84913,MSTB1-int,ERVL-MaLR,LTR,MSTB1-int|ERVL-MaLR|LTR
85160,L1PBb,L1,LINE,L1PBb|L1|LINE
85762,PABL_A-int,ERV1,LTR,PABL_A-int|ERV1|LTR
85990,MER68C,ERVL,LTR,MER68C|ERVL|LTR
87397,LTR91,ERVL,LTR,LTR91|ERVL|LTR
87794,LTR3B,ERVK,LTR,LTR3B|ERVK|LTR
89059,MER76,ERVL,LTR,MER76|ERVL|LTR
89273,MLT1L-int,ERVL-MaLR,LTR,MLT1L-int|ERVL-MaLR|LTR
89452,CR1-12_AMi,CR1,LINE,CR1-12_AMi|CR1|LINE
89564,MER97a,hAT-Tip100,DNA,MER97a|hAT-Tip100|DNA
90536,LTR47B4,ERVL,LTR,LTR47B4|ERVL|LTR
91518,LTR19-int,ERV1,LTR,LTR19-int|ERV1|LTR
92154,MER11B,ERVK,LTR,MER11B|ERVK|LTR
92563,HERVIP10B3-int,ERV1,LTR,HERVIP10B3-int|ERV1|LTR
93049,Merlin1_HS,Merlin,DNA,Merlin1_HS|Merlin|DNA
93999,LTR108a_Mam,ERVL,LTR,LTR108a_Mam|ERVL|LTR
94027,MSTC-int,ERVL-MaLR,LTR,MSTC-int|ERVL-MaLR|LTR
94863,MER83B-int,ERV1,LTR,MER83B-int|ERV1|LTR
95575,UCON39,TcMar-Tigger,DNA,UCON39|TcMar-Tigger|DNA
97096,MER61F,ERV1,LTR,MER61F|ERV1|LTR
97302,LTR1A1,ERV1,LTR,LTR1A1|ERV1|LTR
97462,MLT1F1-int,ERVL-MaLR,LTR,MLT1F1-int|ERVL-MaLR|LTR
98314,MLT1-int,ERVL-MaLR,LTR,MLT1-int|ERVL-MaLR|LTR
98998,AluYk12,Alu,SINE,AluYk12|Alu|SINE
99094,Eulor1,DNA,DNA,Eulor1|DNA|DNA
99642,LTR72B,ERV1,LTR,LTR72B|ERV1|LTR
99925,LTR27E,ERV1,LTR,LTR27E|ERV1|LTR
100147,Eulor9B,DNA,DNA,Eulor9B|DNA|DNA
100198,L1M3a,L1,LINE,L1M3a|L1|LINE
101218,L1P3b,L1,LINE,L1P3b|L1|LINE
101366,CR1-11_Crp,CR1,LINE,CR1-11_Crp|CR1|LINE
102201,MER97d,hAT-Tip100,DNA,MER97d|hAT-Tip100|DNA
102946,LTR22C0,ERVK,LTR,LTR22C0|ERVK|LTR
103769,LTR68,ERV1,LTR,LTR68|ERV1|LTR
103998,CR1-L3B_Croc,CR1,LINE,CR1-L3B_Croc|CR1|LINE
105094,UCON74,DNA,DNA,UCON74|DNA|DNA
105304,L1M2c,L1,LINE,L1M2c|L1|LINE
105982,LTR12_,ERV1,LTR,LTR12_|ERV1|LTR
109424,CR1-13_AMi,CR1,LINE,CR1-13_AMi|CR1|LINE
111357,PRIMAX-int,ERV1,LTR,PRIMAX-int|ERV1|LTR
111673,MER126,DNA,DNA,MER126|DNA|DNA
111856,UCON86,L2,LINE,UCON86|L2|LINE
113070,L1M3de,L1,LINE,L1M3de|L1|LINE
113215,LTR28,ERV1,LTR,LTR28|ERV1|LTR
113547,L1MEa,L1,LINE,L1MEa|L1|LINE
114025,L1M2a1,L1,LINE,L1M2a1|L1|LINE
115245,MER132,TcMar-Pogo,DNA,MER132|TcMar-Pogo|DNA
115805,X2_LINE,CR1,LINE,X2_LINE|CR1|LINE
115919,UCON8,DNA,DNA,UCON8|DNA|DNA
116456,MER125,DNA,DNA,MER125|DNA|DNA
116617,Eulor6B,DNA,DNA,Eulor6B|DNA|DNA
116921,MER68B,ERVL,LTR,MER68B|ERVL|LTR
120262,MER123,DNA,DNA,MER123|DNA|DNA
120500,MER95,ERV1,LTR,MER95|ERV1|LTR
122361,Eulor6A,DNA,DNA,Eulor6A|DNA|DNA
122671,UCON97,DNA,DNA,UCON97|DNA|DNA
123183,Eulor5A,DNA,DNA,Eulor5A|DNA|DNA
124336,MER61C,ERV1,LTR,MER61C|ERV1|LTR
124969,HERVK14-int,ERVK,LTR,HERVK14-int|ERVK|LTR
125299,CRP1,tRNA,SINE,CRP1|tRNA|SINE
126406,MER92A,ERV1,LTR,MER92A|ERV1|LTR
126646,MER61E,ERV1,LTR,MER61E|ERV1|LTR
126810,UCON69,hAT,DNA,UCON69|hAT|DNA
127035,MER133A,DNA,DNA,MER133A|DNA|DNA
128900,LTR18A,ERVL,LTR,LTR18A|ERVL|LTR
128901,HERVL18-int,ERVL,LTR,HERVL18-int|ERVL|LTR
129104,MLT1O-int,ERVL-MaLR,LTR,MLT1O-int|ERVL-MaLR|LTR
129806,MER72B,ERV1,LTR,MER72B|ERV1|LTR
131762,LTR47B3,ERVL,LTR,LTR47B3|ERVL|LTR
132492,Eulor9C,DNA,DNA,Eulor9C|DNA|DNA
133462,L1M3b,L1,LINE,L1M3b|L1|LINE
134045,LTR1B,ERV1,LTR,LTR1B|ERV1|LTR
134624,LTR9C,ERV1,LTR,LTR9C|ERV1|LTR
135027,UCON80,hAT,DNA,UCON80|hAT|DNA
136937,HUERS-P2-int,ERV1,LTR,HUERS-P2-int|ERV1|LTR
137750,L1P4b,L1,LINE,L1P4b|L1|LINE
137779,MER92D,ERV1,LTR,MER92D|ERV1|LTR
138066,MER110-int,ERV1,LTR,MER110-int|ERV1|LTR
138743,MER83C,ERV1,LTR,MER83C|ERV1|LTR
139572,L1P4a,L1,LINE,L1P4a|L1|LINE
139757,L1P4d,L1,LINE,L1P4d|L1|LINE
140628,LTR53-int,ERVL,LTR,LTR53-int|ERVL|LTR
140852,HERVP71A-int,ERV1,LTR,HERVP71A-int|ERV1|LTR
140976,Charlie3,hAT-Charlie,DNA,Charlie3|hAT-Charlie|DNA
141149,Eulor3,DNA,DNA,Eulor3|DNA|DNA
141453,MER101B,ERV1,LTR,MER101B|ERV1|LTR
141489,Eulor6D,DNA,DNA,Eulor6D|DNA|DNA
142053,HERVL32-int,ERVL,LTR,HERVL32-int|ERVL|LTR
142238,LTR58,ERV1,LTR,LTR58|ERV1|LTR
142561,Eulor8,TcMar,DNA,Eulor8|TcMar|DNA
142654,Ricksha_b,MULE-MuDR,DNA,Ricksha_b|MULE-MuDR|DNA
142867,LTR22E,ERVK,LTR,LTR22E|ERVK|LTR
143078,LTR73,ERV1,LTR,LTR73|ERV1|LTR
143920,MLT1E-int,ERVL-MaLR,LTR,MLT1E-int|ERVL-MaLR|LTR
143945,MER57C2,ERV1,LTR,MER57C2|ERV1|LTR
146016,UCON79,DNA,DNA,UCON79|DNA|DNA
146900,Eulor6C,DNA,DNA,Eulor6C|DNA|DNA
147976,LTR35B,ERV1,LTR,LTR35B|ERV1|LTR
149388,LTR22B,ERVK,LTR,LTR22B|ERVK|LTR
150291,L1PBa1,L1,LINE,L1PBa1|L1|LINE
151539,UCON2,DNA,DNA,UCON2|DNA|DNA
151595,UCON51,LTR,LTR,UCON51|LTR|LTR
151864,Tigger17b,TcMar-Tigger,DNA,Tigger17b|TcMar-Tigger|DNA
152359,LTR27D,ERV1,LTR,LTR27D|ERV1|LTR
153008,UCON83,SINE,SINE,UCON83|SINE|SINE
153541,Eulor2C,DNA,DNA,Eulor2C|DNA|DNA
153610,UCON62,DNA,DNA,UCON62|DNA|DNA
154549,Eulor11,DNA,DNA,Eulor11|DNA|DNA
155368,LTR5,ERVK,LTR,LTR5|ERVK|LTR
158687,LTR19C,ERV1,LTR,LTR19C|ERV1|LTR
158688,LTR25-int,ERV1,LTR,LTR25-int|ERV1|LTR
161435,HERVH48-int,ERV1,LTR,HERVH48-int|ERV1|LTR
161843,LTR30,ERV1,LTR,LTR30|ERV1|LTR
163458,MER134,DNA,DNA,MER134|DNA|DNA
163617,LTR52-int,ERVL,LTR,LTR52-int|ERVL|LTR
164219,Eulor7,DNA,DNA,Eulor7|DNA|DNA
164342,MSTB2-int,ERVL-MaLR,LTR,MSTB2-int|ERVL-MaLR|LTR
164523,MER133B,DNA,DNA,MER133B|DNA|DNA
165466,HERVKC4-int,ERVK,LTR,HERVKC4-int|ERVK|LTR
169288,HERVE_a-int,ERV1,LTR,HERVE_a-int|ERV1|LTR
174711,LTR22,ERVK,LTR,LTR22|ERVK|LTR
179586,MER67D,ERV1,LTR,MER67D|ERV1|LTR
179982,MER87B,ERV1,LTR,MER87B|ERV1|LTR
179996,MLT1G3-int,ERVL-MaLR,LTR,MLT1G3-int|ERVL-MaLR|LTR
181116,Charlie11,hAT-Charlie,DNA,Charlie11|hAT-Charlie|DNA
181253,MER88,ERVL,LTR,MER88|ERVL|LTR
181301,LTR108e_Mam,ERVL,LTR,LTR108e_Mam|ERVL|LTR
182224,MER92C,ERV1,LTR,MER92C|ERV1|LTR
185606,HERVI-int,ERV1,LTR,HERVI-int|ERV1|LTR
185607,LTR10B1,ERV1,LTR,LTR10B1|ERV1|LTR
186179,LTR25,ERV1,LTR,LTR25|ERV1|LTR
186553,LTR60,ERV1,LTR,LTR60|ERV1|LTR
186631,LTR3,ERVK,LTR,LTR3|ERVK|LTR
186632,HERVK3-int,ERVK,LTR,HERVK3-int|ERVK|LTR
186896,L1P,L1,LINE,L1P|L1|LINE
188147,hAT-16_Crp,hAT-Charlie,DNA,hAT-16_Crp|hAT-Charlie|DNA
189160,LTR108d_Mam,ERVL,LTR,LTR108d_Mam|ERVL|LTR
189313,LTR18C,ERVL,LTR,LTR18C|ERVL|LTR
189950,MER83A-int,ERV1,LTR,MER83A-int|ERV1|LTR
205769,Charlie6,hAT-Charlie,DNA,Charlie6|hAT-Charlie|DNA
208271,LTR72,ERV1,LTR,LTR72|ERV1|LTR
227928,UCON23,hAT-Tip100,DNA,UCON23|hAT-Tip100|DNA
241230,MER76-int,ERVL,LTR,MER76-int|ERVL|LTR
246945,LTR14C,ERVK,LTR,LTR14C|ERVK|LTR
255049,LTR47B,ERVL,LTR,LTR47B|ERVL|LTR
258737,Eulor5B,DNA,DNA,Eulor5B|DNA|DNA
260321,LTR38C,ERV1,LTR,LTR38C|ERV1|LTR
264051,HERV1_LTRa,ERV1,LTR,HERV1_LTRa|ERV1|LTR
269725,L2-3_AMi,L2,LINE,L2-3_AMi|L2|LINE
290706,LTR10G,ERV1,LTR,LTR10G|ERV1|LTR
296430,LTR108c_Mam,ERVL,LTR,LTR108c_Mam|ERVL|LTR
296549,LTR108b_Mam,ERVL,LTR,LTR108b_Mam|ERVL|LTR
297964,ERVL47-int,ERVL,LTR,ERVL47-int|ERVL|LTR
299394,LTR59,ERV1,LTR,LTR59|ERV1|LTR
311704,Chompy-7_Croc,PIF-Harbinger,DNA,Chompy-7_Croc|PIF-Harbinger|DNA
316021,MER136,DNA,DNA,MER136|DNA|DNA
346929,MER57E3,ERV1,LTR,MER57E3|ERV1|LTR
347024,LTR70,ERV1,LTR,LTR70|ERV1|LTR
348765,Eulor6E,DNA,DNA,Eulor6E|DNA|DNA
364228,L1P4c,L1,LINE,L1P4c|L1|LINE
370739,HERVK11D-int,ERVK,LTR,HERVK11D-int|ERVK|LTR
371419,MLT1E1-int,ERVL-MaLR,LTR,MLT1E1-int|ERVL-MaLR|LTR
378296,HERV1_I-int,ERV1,LTR,HERV1_I-int|ERV1|LTR
385299,Chompy-6_Croc,PIF-Harbinger,DNA,Chompy-6_Croc|PIF-Harbinger|DNA
440653,MER9B,ERVK,LTR,MER9B|ERVK|LTR
517413,MamRep1161,TcMar-Tigger,DNA,MamRep1161|TcMar-Tigger|DNA
520952,Tigger1a_Mars,TcMar-Tigger,DNA,Tigger1a_Mars|TcMar-Tigger|DNA
536015,UCON100,DNA,DNA,UCON100|DNA|DNA
584747,LTR43-int,ERV1,LTR,LTR43-int|ERV1|LTR
586398,HERV1_LTRe,ERV1,LTR,HERV1_LTRe|ERV1|LTR
591515,HERV-Fc1_LTR1,ERV1,LTR,HERV-Fc1_LTR1|ERV1|LTR
593785,HERV-Fc1_LTR2,ERV1,LTR,HERV-Fc1_LTR2|ERV1|LTR
593786,HERV-Fc2-int,ERV1,LTR,HERV-Fc2-int|ERV1|LTR
593791,HERV-Fc1-int,ERV1,LTR,HERV-Fc1-int|ERV1|LTR
656915,HERV1_LTRc,ERV1,LTR,HERV1_LTRc|ERV1|LTR
665167,HERV15-int,ERV1,LTR,HERV15-int|ERV1|LTR
665895,HERV-Fc1_LTR3,ERV1,LTR,HERV-Fc1_LTR3|ERV1|LTR
716529,HERV1_LTRb,ERV1,LTR,HERV1_LTRb|ERV1|LTR
918598,Charlie12,hAT-Charlie,DNA,Charlie12|hAT-Charlie|DNA
1009119,LTR109A2,ERV1,LTR,LTR109A2|ERV1|LTR
1019943,LTR22C,ERVK,LTR,LTR22C|ERVK|LTR
3102827,MLT1M-int,ERVL-MaLR,LTR,MLT1M-int|ERVL-MaLR|LTR
4685629,L2d,L2,LINE,L2d|L2|LINE
4685633,L2d2,L2,LINE,L2d2|L2|LINE
4685636,AmnL2-1,L2,LINE,AmnL2-1|L2|LINE
4685640,X9b_DNA,TcMar-Tigger,DNA,X9b_DNA|TcMar-Tigger|DNA
4685760,hAT-5_Mam,hAT-Tag1,DNA,hAT-5_Mam|hAT-Tag1|DNA
4685789,X11_DNA,TcMar-Tigger,DNA,X11_DNA|TcMar-Tigger|DNA
4685850,Chap1a_Mam,hAT-Charlie,DNA,Chap1a_Mam|hAT-Charlie|DNA
4685971,X15_LINE,L2,LINE,X15_LINE|L2|LINE
4686131,MamTip2b,hAT-Tip100,DNA,MamTip2b|hAT-Tip100|DNA
4686235,AluYb8a1,Alu,SINE,AluYb8a1|Alu|SINE
4686611,EUTREP8,LTR,LTR,EUTREP8|LTR|LTR
4686651,MARE4,hAT-Tip100,DNA,MARE4|hAT-Tip100|DNA
4686693,Tigger23a,TcMar-Tigger,DNA,Tigger23a|TcMar-Tigger|DNA
4686896,EuthAT-2,hAT-Ac,DNA,EuthAT-2|hAT-Ac|DNA
4686938,LTR91A,LTR,LTR,LTR91A|LTR|LTR
4687088,Charlie16,hAT-Charlie,DNA,Charlie16|hAT-Charlie|DNA
4687345,X17_LINE,CR1,LINE,X17_LINE|CR1|LINE
4687508,X6b_DNA,TcMar-Tigger,DNA,X6b_DNA|TcMar-Tigger|DNA
4687617,MamTip1b,hAT-Tip100,DNA,MamTip1b|hAT-Tip100|DNA
4687700,MamGypLTR4,Gypsy,LTR,MamGypLTR4|Gypsy|LTR
4687711,MLT1C2,ERVL-MaLR,LTR,MLT1C2|ERVL-MaLR|LTR
