"version","table","rows","partitions","evidence_level","source"
"gtex_v11_strict_te_overlap_v1","eqtl_tissues","50","1","retained_manifest_checked","evidence/snapshots/eqtl_mysql_manifest.json"
"gtex_v11_strict_te_overlap_v1","eqtl_te_instances","596140","3","retained_manifest_checked","evidence/snapshots/eqtl_mysql_manifest.json"
"gtex_v11_strict_te_overlap_v1","eqtl_variants","664555","3","retained_manifest_checked","evidence/snapshots/eqtl_mysql_manifest.json"
"gtex_v11_strict_te_overlap_v1","eqtl_genes","52962","1","retained_manifest_checked","evidence/snapshots/eqtl_mysql_manifest.json"
"gtex_v11_strict_te_overlap_v1","eqtl_te_variant_overlaps","664902","3","retained_manifest_checked","evidence/snapshots/eqtl_mysql_manifest.json"
"gtex_v11_strict_te_overlap_v1","eqtl_variant_gene_tissue_associations","10670298","66","retained_manifest_checked","evidence/snapshots/eqtl_mysql_manifest.json"
"gtex_v11_strict_te_overlap_v1","eqtl_te_gene_tissue_summary","3320749","50","retained_manifest_checked","evidence/snapshots/eqtl_mysql_manifest.json"
"gtex_v11_strict_te_overlap_v1","eqtl_te_gene_cross_tissue_summary","540906","3","retained_manifest_checked","evidence/snapshots/eqtl_mysql_manifest.json"
