Disease,Top_Class
Pyruvate kinase deficiency,"Endocrine, nutritional or metabolic diseases"
Rectal cancer,Neoplasms
Retinitis pigmentosa,Diseases of the visual system
Retinoblastoma,Neoplasms
Rett syndrome,Diseases of the nervous system
Rhabdomyolysis,Diseases of the nervous system
Rheumatoid arthritis,Diseases of the immune system
Rotor syndrome,"Endocrine, nutritional or metabolic diseases"
Sepsis,Certain infectious or parasitic diseases
Septic shock,Certain infectious or parasitic diseases
Spinal muscular atrophy,Diseases of the nervous system
Spinocerebellar ataxia type 10,Diseases of the nervous system
Spontaneous abortion,"Pregnancy, childbirth or the puerperium"
Substance abuse disorders,"Mental, behavioural or neurodevelopmental disorders"
Substance-use disorders,"Mental, behavioural or neurodevelopmental disorders"
Systemic lupus erythematosus,Diseases of the immune system
T-cell leukemia,Neoplasms
Tauopathy,"Mental, behavioural or neurodevelopmental disorders"
Transmissible spongiform encephalopathies,Certain infectious or parasitic diseases
Trisomy,Diseases of the skin
Turner syndrome,Diseases of the skin
Type 1 diabetes mellitus,"Endocrine, nutritional or metabolic diseases"
Urothelial carcinoma,Neoplasms
Waardenburg syndrome,Diseases of the skin
Williams syndrome,Developmental anomalies
Williams-Beuren syndrome,Developmental anomalies
X-linked agammaglobulinemia,Diseases of the immune system
X-linked dilated cardiomyopathy,Diseases of the circulatory system
X-linked dystonia parkinsonism,Diseases of the nervous system
acute lymphoblastic leukemia,Neoplasms
acute myelogenous leukemia,Neoplasms
acute myeloid leukemia,Neoplasms
adenocarcinoma,Neoplasms
advanced gastric cancer,Neoplasms
advanced prostate carcinoma,Neoplasms
age-associated disorders,Diseases of the skin
age-related diseases,Diseases of the visual system
age-related macular degeneration,Diseases of the visual system
ageing,Diseases of the digestive system
ageing-related diseases,Diseases of the visual system
Aging,Diseases of the digestive system
anaplastic thyroid carcinoma,Neoplasms
ataxia,Diseases of the nervous system
ataxia telangiectasia,Diseases of the immune system
atrophic macular degeneration,Diseases of the visual system
Autism,"Mental, behavioural or neurodevelopmental disorders"
autoimmune diseases,Diseases of the immune system
autoimmune disorders,Diseases of the immune system
autoinflammatory disorders,Diseases of the immune system
beta-thalassemia,Diseases of the blood or blood-forming organs
bile duct carcinoma,Neoplasms
biliary atresia,Diseases of the digestive system
bipolar disorder,"Mental, behavioural or neurodevelopmental disorders"
bladder cancer,Neoplasms
brain disorders,Diseases of the nervous system
breast cancer,Neoplasms
breast carcinoma,Neoplasms
breast invasive carcinoma,Neoplasms
bronchitis,Diseases of the respiratory system
cancer,Neoplasms
cancers of the head and neck,Neoplasms
carcinoma,Neoplasms
carcinomas,Neoplasms
cardiomyopathy,Diseases of the circulatory system
cardiovascular diseases,Diseases of the circulatory system
cerebral ischemia,Diseases of the nervous system
cervical cancer,Neoplasms
cervical malignancies,Neoplasms
chronic inflammation,Diseases of the respiratory system
chronic myeloid leukemia,Neoplasms
clear cell ovarian carcinoma,Neoplasms
cocaine addiction,"Mental, behavioural or neurodevelopmental disorders"
cognitive impairment,"Symptoms, signs or clinical findings, not elsewhere classified"
Colitis,Diseases of the digestive system
colon cancer,Neoplasms
colonic adenoma,Neoplasms
colorectal cancer,Neoplasms
colorectal cancers,Neoplasms
colorectal carcinoma,Neoplasms
colorectal tumors,Neoplasms
colorectal tumours,Neoplasms
common diseases,Diseases of the digestive system
congenital thrombophilia,Diseases of the blood or blood-forming organs
cryptorchidism,Diseases of the genitourinary system
cutaneous melanoma,Neoplasms
cutaneous sarcoidosis,Diseases of the immune system
deep vein thrombosis,Diseases of the circulatory system
dermatomyositis,Diseases of the immune system
developmental disorders,"Mental, behavioural or neurodevelopmental disorders"
diabetes mellitus,"Endocrine, nutritional or metabolic diseases"
disease,Diseases of the musculoskeletal system or connective tissue
diseases,Diseases of the musculoskeletal system or connective tissue
diseases of cardiovascular system,Diseases of the circulatory system
drug addiction,Diseases of the blood or blood-forming organs
ductal adenocarcinoma of the breast,Neoplasms
dysplasia,Diseases of the musculoskeletal system or connective tissue
embryonal carcinoma,Neoplasms
emotional disorders,"Mental, behavioural or neurodevelopmental disorders"
endometrial cancer,Neoplasms
endometrial cancers,Neoplasms
endometrial malignancies,Neoplasms
endometrial tumor,Neoplasms
endometrioid ovarian carcinoma,Neoplasms
epilepsy,Diseases of the nervous system
epithelial cancers,Neoplasms
epithelial tumors,Neoplasms
esophageal adenocarcinoma,Neoplasms
esophageal cancer,Neoplasms
esophageal tumors,Neoplasms
frontotemporal degeneration,Diseases of the nervous system
gastric cancer,Neoplasms
gastroesophageal cancers,Neoplasms
gastrointestinal cancer,Neoplasms
gastrointestinal cancers,Neoplasms
gastrointestinal tumors,Neoplasms
genetic disease,Certain infectious or parasitic diseases
